"","number","species","site","region","sequence","crown.exp","canopy_scope","have.record","have.plot","resurvey"
"1","cafo_1_1","cafo","g17_1","L6","1",3,8.5,"1",NA,"1"
"2","hyvi_1_1","hyvi","g17_1","L6","1",2.5,7.5,"1",NA,"1"
"3","tebi_1_1","tebi","g17_1","L6","1",3,12,"1",NA,"1"
"4","smla_1_1","smla","g17_1","L6","1",3,9.5,"1",NA,"m"
"5","cafo_1_2","cafo","g17_2","L6","2",2.5,6.5,"1",NA,"1"
"6","hyvi_1_2","hyvi","g17_2","L6","2",2,5,"1",NA,"1"
"7","tebi_1_3","tebi","g17_3","L6","3",2,3.5,"1",NA,"1"
"8","cafo_1_3","cafo","g17_3","L6","3",1.5,2.5,"1",NA,"0"
"9","cafo_2_1","cafo","g18_1","L6","1",2,5,"1",NA,"1"
"10","smla_2_3","smla","g18_1","L6","1",3,12,"1",NA,"1"
"11","tebi_2_1","tebi","g18_1","L6","1",2.5,5,"1",NA,"1"
"12","cafo_2_2","cafo","g18_2","L6","2",1,2.5,"1",NA,"1"
"13","smla_2_2","smla","g18_2","L6","2",1,3,"1",NA,"0"
"14","tebi_2_2","tebi","g18_2","L6","2",1,4.5,"1",NA,"1"
"15","smlaz_1_1","smla","gzt_1_1","ZT","1",3,16,"1",1,"0"
"16","pefoz_1_1","pefo","gzt_1_1","ZT","1",3,17.5,"1",1,"0"
"17","tebiz_1_1","tebi","gzt_1_1","ZT","1",2.5,15,"1",1,"1"
"18","aeacz_1_1","aeac","gzt_1_1","ZT","1",2,8,"1",1,"1"
"19","tebiz_1_2","tebi","gzt_1_2","ZT","2",1,2.5,"1",1,"m"
"20","smla_1_2","smla","gzt_1_2","ZT","2",1,2,"1",1,"0"
"21","aeacz_1_2","aeac","gzt_1_2","ZT","2",1,3.5,"1",1,"1"
"22","tebiz_1_3","tebi","gzt_1_3","ZT","3",2,6,"1",1,"m"
"23","smlaz_1_4","smla","gzt_1_4","ZT","4",2,4.5,"1",1,"1"
"24","pefoz_1_4","pefo","gzt_1_4","ZT","4",1,4.5,"1",1,"1"
"25","pisiz_2_1","pisi","gzt_2_1","ZT","1",1,2,"iron",1,"1"
"26","aeacz_2_1","aeac","gzt_2_1","ZT","1",1,2,"iron",1,"1"
"27","cafoz_2_1","cafo","gzt_2_1","ZT","1",2.5,8,"iron",1,"1"
"28","hyviz_2_1","hyvi","gzt_2_1","ZT","1",2.5,5.5,"iron",1,"1"
"29","aeacz_2_2","aeac","gzt_2_2","ZT","2",3,6,"iron",1,"1"
"30","pssez_2_2","psse","gzt_2_2","ZT","2",1,3,"iron",1,"1"
"31","smlaz_2_2","smla","gzt_2_2","ZT","2",2,4,"iron",1,"m"
"32","smlaz_2_3","smla","gzt_2_3","ZT","3",2.5,7,"iron",1,"1"
"33","pefoz_2_3","pefo","gzt_2_3","ZT","3",2.5,11.5,"iron",1,"m"
"34","pisiz_2_3","pisi","gzt_2_3","ZT","3",2,7.5,"iron",1,"1"
"35","tebiz_2_3","tebi","gzt_2_3","ZT","3",2.5,11.5,"iron",1,"m"
"36","aeacz_2_3","aeac","gzt_2_3","ZT","3",3,15.5,"iron",1,"1"
"37","pssez_2_3","psse","gzt_2_3","ZT","3",2,4,"iron",1,"1"
