number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
hyviz_4_2,hyvi,gzt_4_2,ZT,2,1,2.5,AAR,NA,1
tebiz_4_2,tebi,gzt_4_2,ZT,2,1,3.5,TT,NA,1
cacoz_4_2,caco,gzt_4_2,ZT,2,1,3.5,TT,NA,1
smlaz_4_2,smla,gzt_4_2,ZT,2,2,6.5,TT,NA,1
smbrz_4_2,smbr,gzt_4_2,ZT,2,2,6.5,TT,NA,1
pssez_4_2,psse,gzt_4_2,ZT,2,1,2.5,AAR,NA,1
pefoz_4_2,pefo,gzt_4_2,ZT,2,2,5.5,TS,NA,1
smbr_8_1,smbr,g08_1,L6,1,2,6,TT,NA,1
rupy_8_1,rupy,g08_1,L6,1,2.5,6.5,SH,NA,1
pisi_8_1,pisi,g08_1,L6,1,2,4,AAR,NA,1
anaf_8_1,anaf,g08_1,L6,1,2.5,8,TS,NA,1
cafo_8_2,cafo,g08_2,L6,2,1.5,4,SH,NA,1
pisi_8_2,pisi,g08_2,L6,2,1,2.5,AAR,NA,1
lypa_8_2,lypa,g08_2,L6,2,1,3.5,AAR,NA,1
amca_8_3,amca,g08_3,L6,3,2,6,TT,(clonal),1
tebi_8_3,tebi,g08_3,L6,3,2,8.5,TT,NA,1
cafo_8_3,cafo,g08_3,L6,3,1.5,4.5,SH,NA,1
smbr_8_3,smbr,g08_3,L6,3,1,2,TT,NA,1
fiol_8_4,fiol,g08_4,L6,4,1,3,TB,(clonal),1
cafo_8_4,cafo,g08_4,L6,4,1,3.5,SH,NA,1
anaf_8_4,anaf,g08_4,L6,4,1,3.5,TS,NA,1
cafo_4_1,cafo,g04_1,L6,1,2,5.5,SH,NA,1
stob_4_1,stob,g04_1,L6,1,2,4,TS,NA,1
dima_4_1,dima,g04_1,L6,1,2,6,TS,NA,1
smla_4_1,smla,g04_1,L6,1,2,6.5,TT,NA,1
smla_4_2,smla,g04_2,L6,2,1.5,1.5,TT,NA,1
cafo_4_2,cafo,g04_2,L6,2,1.5,5,SH,NA,1
cafo_4_3,cafo,g04_3,L6,3,2.5,8,SH,NA,1
pefo_4_3,pefo,g04_3,L6,3,2.5,10,TS,NA,1
trgr_4_3,trgr,g04_3,L6,3,1.5,3.5,AAR,NA,1
hyvi_4_3,hyvi,g04_3,L6,3,1,3,AAR,NA,1
cafo_4_4,cafo,g04_4,L6,4,1,3,SH,NA,1
smbr_4_4,smbr,g04_4,L6,4,1.5,4.5,TT,NA,1
tebi_4_4,tebi,g04_4,L6,4,1,2.5,TT,NA,1
smlaz_15_1,smla,gzt15_1,ZT,1,3,19.5,TT,NA,1
tebiz_15_1,tebi,gzt15_1,ZT,1,3,19.5,TT,NA,1
pisiz_15_1,pisi,gzt15_1,ZT,1,2,11.5,AAR,NA,1
aeacz_15_2,aeac,gzt15_2,ZT,2,1.5,6,AAR,NA,1
pssez_15_2,psse,gzt15_2,ZT,2,1.5,7,AAR,NA,1
