"","Wavelength(nm)","PPFD(umol.m-2.s-1)"
"318",677,0.194551
"319",678,0.193993
"320",679,0.193433
"321",680,0.192346
"322",681,0.191254
"323",682,0.188299
"324",683,0.186649
"325",684,0.184993
"326",685,0.182746
"327",686,0.181537
"328",687,0.180324
"329",688,0.179659
"330",689,0.178991
"331",690,0.178031
"332",691,0.178192
"333",692,0.178352
"334",693,0.180159
"335",694,0.180665
"336",695,0.181171
"337",696,0.183025
"338",697,0.183822
"339",698,0.183016
"340",699,0.183675
"341",700,0.184336
"342",701,0.185044
"343",702,0.185531
"344",703,0.185349
"345",704,0.186282
"346",705,0.185931
"347",706,0.185579
"348",707,0.186288
"349",708,0.18554
"350",709,0.184789
"351",710,0.183864
"352",711,0.182935
"353",712,0.17961
"354",713,0.177498
"355",714,0.175378
"356",715,0.171325
"357",716,0.169062
"358",717,0.166793
"359",718,0.16383
"360",719,0.161977
"361",720,0.160118
"362",721,0.158725
"363",722,0.157978
"364",723,0.157228
"365",724,0.15794
"366",725,0.158644
"367",726,0.15935
"368",727,0.159866
"369",728,0.160382
"370",729,0.163458
"371",730,0.164341
"372",731,0.165226
"373",732,0.168726
"374",733,0.169604
"375",734,0.170483
"376",735,0.173442
"377",736,0.174648
"378",737,0.175856
"379",738,0.177857
"380",739,0.178839
"381",740,0.179823
"382",741,0.180642
"383",742,0.181015
"384",743,0.181387
"385",744,0.182186
"386",745,0.182696
"387",746,0.18241
"388",747,0.183027
"389",748,0.182174
"390",749,0.181319
"391",750,0.181034
"392",751,0.178879
"393",752,0.176718
"394",753,0.173356
"395",754,0.169115
"396",755,0.164861
"397",756,0.15701
"398",757,0.152404
"399",758,0.147785
"400",759,0.140376
"401",760,0
