"","tag","species","Amax","Rd","Trmax","Tr0","Fv/Fm","fv'/fm'","NPQ","PhiPS2","qP","qN","SLA","LDMC","thickness","spad","£_15N","N%","£_13C","C%","ldmcextract","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b","old"
"21","pe3","pefo",9.424802888076,-1.3182555968325,2.72590247297686,1.79328566394373,0.773,0.545,0.89,0.103,0.189,0.62,250.327172962963,0.279021701687909,0.1885,51.75,2.86925,2.98288521548565,-31.24625,44.1354204676089,0.289966923925027,9387.04790874525,7060.41673003802,2326.63117870723,3.03460935048635,"new"
"22","pe4","pefo",7.82209086663563,-1.18293209450699,2.02220542403428,0.709963821231959,0.785,0.484,1.059,0.083,0.172,0.686,212.114982142857,0.279248177982355,0.189,50,1.98825,3.51389786815521,-32.93425,43.1276971812626,0.293838862559244,8754.01290322572,6297.23870967736,2456.77419354836,2.56321428571429,"old"
"23","pe5","pefo",10.2905209898277,-0.888408820828478,2.45909863277063,1.4618270512219,0.793,0.509,0.871,0.103,0.203,0.631,297.087636464088,0.240691489361702,0.1575,41.05,1.54825,3.4271275510842,-33.05725,43.2759542654017,0.259935553168641,10532.3107438015,7945.86446280977,2586.44628099169,3.07211656441718,"old"
"24","pe6","pefo",11.0110729903765,-1.10100374760354,2.19475681694749,0.544492185830148,0.782,0.399,1.472,0.125,0.313,0.787,285.7694861167,0.32935719019218,0.12,36.95,1.84125,2.82133304130451,-31.21325,45.5132785348835,0.276381909547737,10489.7192727273,7807.91563636368,2681.80363636365,2.91144196036317,"old"
"25","pi1","pisi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"old"
"26","pi2","pisi",1.9568493173777,-0.452107867108401,0.605318736480263,0.400877256264037,0.779,0.257,3.432,0.016,0.061,0.93,493.5462,0.160525201185938,0.119,36.5,-0.36675,4.52790686559376,-32.76125,46.8846245161356,0.166101694915259,14945.7877551017,11223.726530612,3722.0612244897,3.01545994374414,"old"
"27","pi3","pisi",2.80107404329915,-0.682596471891012,1.02777127007889,0.713368341895396,0.766,0.261,3.311,0.024,0.093,0.927,437.269300188679,0.163959783449343,0.136,39.2,1.04225,4.7455636955984,-32.18125,46.0218828712074,0.140969162995589,15738.2875000006,11422.2875000005,4316.00000000018,2.6464984939759,"old"
"28","pi4","pisi",2.46890794541812,-0.849215563620116,0.567533305030274,0.350588234759226,0.758,0.196,3.607,0.028,0.14,0.948,432.440297402597,0.149951314508277,0.151,47.05,2.37525,5.41053961433639,-31.72325,43.6014271629678,0.151034482758618,17891.5452054798,13359.1342465756,4532.4109589042,2.94746755484093,"old"
"29","pi5","pisi",4.70642145891299,-0.848257183139856,1.73004334213381,1.20331239619184,0.789,0.312,2.324,0.052,0.166,0.881,545.971363157895,0.144880174291939,0.117,36.55,0.58325,4.60467907234532,-34.17925,44.0205922989347,0.125515615792576,25023.1201877933,18537.0967136149,6486.02347417838,2.85800641755512,"old"
"30","pi6","pisi",4.62451869812785,-0.567344715998418,1.26515433880454,0.648173177739117,0.787,0.274,3.669,0.046,0.166,0.931,459.734097961783,0.166137566137566,0.113,48.55,-0.06375,5.02906093741056,-33.10025,46.7220886024746,0.139258222533239,23158.1035175882,16973.3396984926,6184.76381909554,2.74437960687961,"old"
