"","Wavelength(nm)","PPFD(umol.m-2.s-1)"
"318",677,7.164813
"319",678,7.142401
"320",679,7.119894
"321",680,7.075497
"322",681,7.030939
"323",682,6.906068
"324",683,6.851018
"325",684,6.795779
"326",685,6.697575
"327",686,6.658935
"328",687,6.620154
"329",688,6.588051
"330",689,6.555827
"331",690,6.532029
"332",691,6.537668
"333",692,6.543296
"334",693,6.598616
"335",694,6.62291
"336",695,6.647246
"337",696,6.700587
"338",697,6.710562
"339",698,6.719493
"340",699,6.732601
"341",700,6.745719
"342",701,6.778471
"343",702,6.79074
"344",703,6.795208
"345",704,6.821989
"346",705,6.822363
"347",706,6.822711
"348",707,6.836048
"349",708,6.819462
"350",709,6.802802
"351",710,6.764137
"352",711,6.725338
"353",712,6.61198
"354",713,6.52844
"355",714,6.44464
"356",715,6.299312
"357",716,6.223137
"358",717,6.146724
"359",718,6.026312
"360",719,5.969819
"361",720,5.913144
"362",721,5.847767
"363",722,5.824798
"364",723,5.801742
"365",724,5.832379
"366",725,5.860418
"367",726,5.888513
"368",727,5.915835
"369",728,5.943211
"370",729,6.055113
"371",730,6.089056
"372",731,6.123067
"373",732,6.247858
"374",733,6.28803
"375",734,6.328288
"376",735,6.440717
"377",736,6.483808
"378",737,6.526991
"379",738,6.619088
"380",739,6.64113
"381",740,6.663208
"382",741,6.715579
"383",742,6.729806
"384",743,6.744048
"385",744,6.762855
"386",745,6.765038
"387",746,6.7672
"388",747,6.784132
"389",748,6.754887
"390",749,6.72554
"391",750,6.691045
"392",751,6.619126
"393",752,6.54699
"394",753,6.372266
"395",754,6.217966
"396",755,6.063234
"397",756,5.768225
"398",757,5.596008
"399",758,5.423318
"400",759,5.18376
"401",760,0
